,line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
31,111,111_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
32,117,117_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
33,134,134_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
34,150,150_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
35,152,152_TT_12-10-23.pdf,Line 152.png,"Eastbound service will now travel via Roscoe Bl, Tuxford St, and turn right on Lankershim Bl to North Hollywood Station.",Simplify route.,"El servicio hacia el este ahora viajará por Roscoe Bl, Tuxford St, y girará a la derecha en Lankershim Bl hacia la estación North Hollywood.",Simplificar la ruta,"Արևելյան ճանապարհը այժմ կուղևորվի Roscoe Blvd-ով, Tuxford St-ով և թեքվելու է աջ Lankershim Blvd-ով դեպի North Hollywood Station:",պարզեցնել երթուղին:,現在東向行駛將經由Roscoe Bl、Tuxford St在Lankershim Bl右轉，前往North Hollywood Station。,簡化路線。,"동부 방면 서비스는 이제 Roscoe Bl, Tuxford St를 경유하여 운행되며 Lankershim Bl에서 오른쪽으로 돌아 North Hollywood Station으로 운행합니다.",노선을 간소화하기 위한 조치입니다.,東行きはRoscoe Bl、Tuxford Stを経由し、Lankershim Blを右折してNorth Hollywood Stationに向かいます。,ルートの簡素化。,"транспорт в восточном направлении теперь будет двигаться через Roscoe Bl, Tuxford St и поворачивать направо на Lankershim Bl к станции North Hollywood.",упростить маршрут.,"Chuyến về phía đông sẽ đi qua Roscoe Bl, Tuxford St và rẽ phải tại Lankershim Bl đến North Hollywood Station.",Đơn giản hóa tuyến đường.
36,154,154_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
37,155,155_TT_12-10-23.pdf,,Saturday and Sunday schedules have been updated.,Improve reliability.,Se actualizaron los horarios de los sábados y domingos.,Mejorar la fiabilidad.,Թարմացվել են շաբաթ և կիրակի օրերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,週六和週日時刻表已更新。,提升可靠性。,토요일 및 일요일 일정이 업데이트되었습니다.,안정성을 개선합니다.,土曜日と日曜日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на субботу и воскресенье.,Повысить надежность.,Lịch trình Thứ Bảy và Chủ Nhật đã được cập nhật.,Cải thiện độ tin cậy.
38,158,158_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
39,161,161_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
40,162,162_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
41,165,165_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
42,167,167_TT_12-10-23.pdf,Line 167.png,"Late-night trips weekdays
and weekends after 8pm will not enter the Sepulveda VA Medical Center.",Low ridership levels.,"Los viajes nocturnos a altas horas de la noche entre semana
y los fines de semana después de las 8 p. m. no entrarán a Sepulveda VA Medical Center.",Bajos niveles de pasajeros,"ուշ գիշերային ուղևորությունները աշխատանքային օրերին
և հանգստյան օրերին երեկոյան ժամը 8-ից հետո չեն մտնի Sepulveda VA Medical Center։",ուղևորությունների ցածր մակարդակներ։,平日午夜班次和週末晚上8點過後不停靠Sepulveda VA Medical Center。,載客量偏低。,8시 이후의 주중 및 주말 야간 운행편은 Sepulveda VA Medical Center에 정차하지 않습니다.,탑승객 수가 적습니다.,平日および週末の午後8時以降の深夜便は、Sepulveda VA Medical Centerには乗り入れません。,利用者数が少ないため。,"поздние вечерние рейсы по будням
и выходным после 20:00 не будут заезжать на Sepulveda VA Medical Center.",скорректировать маршрут из-за низкого пассажиропотока.,"Các chuyến tối muộn vào ngày thường
và ngày cuối tuần sau 8 giờ tối sẽ không đi vào Sepulveda VA Medical Center.",Lượng hành khách thấp.
43,169,169_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
44,177,177_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
45,179,179_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
46,180,180_TT_12-10-23.pdf,Line 180.png,Will be rerouted back to Central Av from Brand Bl in downtown Glendale.,Improve rider access to key destinations.,Se desviará de vuelta a Central Av desde Brand Bl en el centro de Glendale.,Mejorar el acceso de los pasajeros a destinos clave,Glendale կենտրոնում գտնվող Brand Bl-ից կվերադառնան Central Av:,բարելավել ողևորների մուտքը հիմնական ուղղություններ:,將不會從Glendale市中心的Brand Bl繞回Central Av。,提高乘客前往重要目的地的便利性。,Downtown Glendale의 Brand Bl에서 Central Av로 경로가 다시 변경됩니다.,탑승객을 위해 핵심 목적지의 접근성을 개선하기 위한 조치입니다.,GlendaleのダウンタウンにあるBrand BlからCentral Avに迂回します。,主要目的地への利用者アクセスの改善。,Маршрут 180 от Hollywood до Pasadena будет перенаправлен обратно на Central Av с Brand Bl в центре Glendale.,улучшить доступ пассажиров к основным пунктам назначения.,Sẽ sửa lại tuyến đường trở lại Central Av từ Brand Bl tại trung tâm thành phố Glendale.,Cải thiện khả năng tiếp cận các điểm đến quan trọng cho hành khách.
47,182,182_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
48,204,204_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
49,205,205_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
50,206,206_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
51,207,207_TT_12-10-23.pdf,,Saturday and Sunday schedules have been updated.,Improve reliability.,Se actualizaron los horarios de los sábados y domingos.,Mejorar la fiabilidad.,Թարմացվել են շաբաթ և կիրակի օրերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,週六和週日時刻表已更新。,提升可靠性。,토요일 및 일요일 일정이 업데이트되었습니다.,안정성을 개선합니다.,土曜日と日曜日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на субботу и воскресенье.,Повысить надежность.,Lịch trình Thứ Bảy và Chủ Nhật đã được cập nhật.,Cải thiện độ tin cậy.
52,211/215,211-215_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
53,212,212_TT_12-10-23.pdf,,Saturday schedules have been updated.,Improve reliability.,Se actualizaron los horarios de los sábados.,Mejorar la fiabilidad.,Թարմացվել են շաբաթ օրերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,週六時刻表已更新。,提升可靠性。,토요일 일정이 업데이트되었습니다.,안정성을 개선합니다.,土曜日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлено расписание на субботу.,Повысить надежность.,Lịch trình Thứ Bảy đã được cập nhật.,Cải thiện độ tin cậy.
54,217,217_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
55,224,224_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
56,230,230_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
57,232,232_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
58,233,,,New discharge bus stop on southbound Sepulveda Bl/Exposition Bl.,More convenient access to Expo/Sepulveda Station,Nueva parada de autobús hacia el sur de Sepulveda Bl/Exposition Bl.,Ofrecer un acceso más conveniente a la estación Expo/Sepulveda,Նոր բեռնաթափման ավտոբուսի կանգառ հարավային Sepulveda Bl/Exposition BlÉ,ավելի հարմար մուտք դեպի Expo/Sepulveda Station,在南向Sepulveda Bl/Exposition Bl增設新的公車停靠站。,前往Expo/Sepulveda Station更加便利,남부 방면 Sepulveda Bl/Exposition Bl에 신규 버스 정류장이 개설되었습니다.,Expo/Sepulveda Sation의 접근성 편의를 위한 조치입니다.,南行きSepulveda Bl/Exposition Blに新しい降車バス停が設置されます。,Expo/Sepulveda Stationへのアクセス向上,новая остановка для высадки пассажиров на южном направлении на перекрестке Sepulveda Bl/Exposition Bl.,обеспечить более удобный доступ к станции Expo/Sepulveda,Điểm xe buýt dừng trả khách mới ở phía nam Sepulveda Bl/Exposition Bl.,Đến Expo/Sepulveda Station thuận tiện hơn
59,235/236,235-236_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
60,237,237_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
61,240,240_TT_12-10-23.pdf,,Late evening service increased weekdays and weekends from every 30 minutes to every 20 minutes.,Improved connections with B Line trains at Universal City/Studio City station.,"Aumento del servicio nocturno a altas horas de la noche entre semana y los fines de semana, de cada 30 minutos a cada 20 minutos.",Ofrecer conexiones mejoradas con los trenes de la B Line en la estación Universal City/Studio City,Ուշ երեկոյան սպասարկումն ավելացվել է աշխատանքային օրերին և հանգստյան օրերին՝ յուրաքանչյուր 30 րոպեից մինչև 20 րոպե:,բարելավված կապեր B Line գնացքների հետ Universal City/Studio City կայարանում:,平日和週末的夜間班次增加，發車間隔從每30分鐘一班縮短為每20分鐘一班。,Universal City/Studio City Station的B Line列車連接路線更加順暢。,평일 및 주말 심야 서비스 운행 시 배차 간격이 30분에서 20분으로 증편되었습니다.,Universal City/Studio City STation의 B Line 열차 연결성을 개선한 조치입니다.,平日および週末の深夜便が30分間隔から20分間隔に増便されます。,Universal City/Studio City StationでB Line列車への接続改善。,время ожидания в вечерние часы по будням и выходным сокращено с 30 до 20 минут.,обеспечить более удобную пересадку на поезда B Line на станции Universal City/Studio City.,Tần suất phục vụ vào tối muộn tăng cao vào ngày thường và ngày cuối tuần từ 30 phút/chuyến lên 20 phút/chuyến.,Cải thiện khả năng kết nối với các chuyến tàu Line B tại nhà ga Universal City/Studio City.
62,242/243,242-243_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
63,244,244_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
64,246,246_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
65,251,251_TT_12-10-23.pdf,,One additional southbound trip scheduled weeknights after 7pm will be extended from Huntington Park to the C Line.,More convenient rail connections.,Un viaje nocturno adicional al sur entre semana después de las 7 p. m. se extenderá de Huntington Park a la C Line.,Ofrecer conexiones ferroviarias más convenientes,"Մեկ լրացուցիչ ուղևորություն դեպի հարավ, որը նախատեսված է շաբաթ գիշերները երեկոյան 7-ից հետո, կերկարաձգվի Huntington Park-ից մինչև C Line:",ավելի հարմար երկաթուղային միացումներ:,預定平日晚上7點過後加開一班從Huntington Park延伸至C Line的南向班次。,列車連接路線更加便利。,평일 야간 오후 7시 이후 Huntington Park에서 C Line을 잇는 남부 방면 운행편이 1회 증편되었습니다.,철도를 연결하여 편의를 도모하기 위한 조치입니다.,平日夜7時以降に運行される南行きの1便が、Huntington ParkからC Lineまで延長されます。,鉄道へ乗り換えやすくするため。,один дополнительный рейс в южном направлении по вечерам в будни после 19:00 продлен с Huntington Park до C Line.,обеспечить более удобную пересадку на поезда.,"Thêm một chuyến về phía nam có lịch trình vào các buổi tối ngày thường sau 7 giờ tối, sẽ được kéo dài từ Huntington Park tới Line C.",Kết nối đường sắt thuận tiện hơn.
66,260,260_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
67,265,265_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
68,267,267_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
69,344,344_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
